N,tc,ti,te
188,1.880021e7,2.3591966e7,1.03684832e8
288,4.1200863e7,5.1738634e7,2.44820815e8
388,7.8117128e7,9.6462865e7,5.17789193e8
488,1.7728736e8,2.04546896e8,1.064952516e9
588,2.82876808e8,3.28203603e8,1.6749275e9
688,3.22331068e8,3.80310399e8,2.595533741e9
788,4.02646422e8,4.77793494e8,3.941112428e9
888,4.65708388e8,5.62050667e8,5.298599422e9
988,7.15846555e8,8.4130352e8,7.076902801e9
1088,9.4448732e8,1.101187114e9,9.256261502e9
