N,tc,ti,te
100,2.306218e6,2.860084e6,1.8569166e7
200,1.1934026e7,1.3730729e7,8.5492372e7
300,2.8937672e7,3.2918268e7,2.27781651e8
400,4.9461262e7,5.6057656e7,4.72631014e8
500,8.9865304e7,9.9369876e7,8.39749314e8
600,1.35459519e8,1.48602832e8,1.443101251e9
700,1.78804692e8,1.95112402e8,2.275002054e9
800,2.32567712e8,2.52445789e8,3.514507482e9
900,3.09291264e8,3.32128223e8,4.954377901e9
1000,3.76618184e8,4.02180289e8,6.516127714e9
